"","PRODUCTNDID","X203","X204","X205","X207","X208","X209","X210","X211","X212","X213","X214","X221","X255","X257","X262","X263","X268","X269","X287","X291","X301","X303","X304","X305","X306","X307","X309","X312","X313","X315","X317","X318","X319","X320","X321","X322","X323","X324","X325","X326","X328","X334","X337","X338","X341","X342","X343","X344","X345","X346","X347","X401","X404","X405","X406","X410","X415","X417","X418","X421","X428","X429","X430","X431","X432","X435","X454","X501","X502","X503","X504","X505","X506","X507","X508","X509","X510","X511","X512","X513","X514","X515","X516","X517","X518","X521","X573","X578","X601","X605","X606","X607","X608","X609","X610","X611","X612","X613","X614","X615","X617","X618","X619","X620","X621","X624","X625","X626","X627","X628","X629","X630","X631","X636","X638","X639","X641","X645","X646","X652","X653","X654","X662","X663","X664","X665","X666","X669","X670","X671","X672","X673","X674","X675","X676","X685","X687","X689","X693","X695","X696","X697","X851","X852","X853","X855","X856","X857","X858","X859","CHOdec","CHOdec2"
"1","ND00001",6.19,2.3,85.79,2.11,389,59.17,14.9,1.13,1.81,0,0,0,3.62,NA,0,0,1626,17.84,0,3.8,0.535,0.02474,0.06,0.448,0.196,0.013,0.01746,0.000213,NA,0.001646,6.2e-06,0.000325,0,1e-06,6e-06,0,0.01033,0,NA,NA,0,4e-06,0,4.5e-05,0.00041,0.01073,0.00593,0.00017,2e-04,0,0,0.0013,0.001563,0.002267,0.028767,0.000635,0.0018,1.6e-05,0,0.0115,NA,NA,1.3e-06,0,1.6e-05,1.6e-05,NA,0.058,0.156,0.183,0.368,0.156,0.104,0.087,0.248,0.205,0.256,0.357,0.121,0.239,0.404,1.047,0.209,0.36,0.239,NA,0,0,0,0,0.143,0.002,0.002,0.002,0,0.002,0.004,0.115,0.012,0.001,0.151,0.252,0.011,0,0,0.001,0,0.001,0,0.003,0,0,0,NA,NA,NA,NA,0.306,0.527,0.002,0,0.001,0,0,0,0,0,0,0,0,0,0.001,0.151,0,0,0,0,0,0,0,NA,0,0.011,0,0,NA,0,NA,0,0,85.885,85.885
"2","ND00008",6.19,2.3,85.79,2.11,389,59.17,14.9,1.13,1.81,0,0,0,3.62,NA,0,0,1626,17.84,0,3.8,0.535,0.02474,0.06,0.448,0.196,0.013,0.01746,0.000213,NA,0.001646,6.2e-06,0.000325,0,1e-06,6e-06,0,0.01033,0,NA,NA,0,4e-06,0,4.5e-05,0.00041,0.01073,0.00593,0.00017,2e-04,0,0,0.0013,0.001563,0.002267,0.028767,0.000635,0.0018,1.6e-05,0,0.0115,NA,NA,1.3e-06,0,1.6e-05,1.6e-05,NA,0.058,0.156,0.183,0.368,0.156,0.104,0.087,0.248,0.205,0.256,0.357,0.121,0.239,0.404,1.047,0.209,0.36,0.239,NA,0,0,0,0,0.143,0.002,0.002,0.002,0,0.002,0.004,0.115,0.012,0.001,0.151,0.252,0.011,0,0,0.001,0,0.001,0,0.003,0,0,0,NA,NA,NA,NA,0.306,0.527,0.002,0,0.001,0,0,0,0,0,0,0,0,0,0.001,0.151,0,0,0,0,0,0,0,NA,0,0.011,0,0,NA,0,NA,0,0,85.885,85.885
"3","ND00011",2.54,1.52,12,0.34,71,11.6,0.25,0,0,0,0,0,83.61,NA,0,0,297,0.27,0.02,1.7,0.009,9e-04,0.027,0.077,0.07,0.004,0.001,7.4e-05,7.16e-05,0.00058,5.4e-06,0,0,0,0,0,8e-05,0,NA,NA,0,0,0,0.00018,1e-05,3e-05,0,0.00021,0,0,0,0,7.6e-05,1.6e-05,0.000225,0.000311,5e-06,6e-06,0,0.0074,NA,0,3e-07,0,6e-06,6e-06,0.0031,0.04,0.096,0.116,0.216,0.135,0.046,0.097,0.142,0.101,0.16,0.167,0.054,0.124,0.302,0.623,0.147,0.096,0.151,NA,0,0,0,0.001,0.31,0,0,0,0,0,0.005,0.28,0.021,0.002,0.422,0.541,0.018,0,0,0.002,0,0.003,0,0.01,0,0,0,NA,NA,NA,NA,0.435,0.559,0,0.001,NA,NA,0,NA,NA,0.001,NA,NA,NA,NA,0.003,0.422,0.54,NA,NA,0,NA,0,0.001,NA,NA,0.018,NA,NA,NA,NA,NA,NA,NA,12,12
"4","ND00028",14.29,4,71.43,3.89,429,NA,NA,NA,NA,NA,NA,0,6,NA,0,0,1793,57.14,NA,2.3,0.457,0,0.053,0.382,0.714,0.286,0.00177,9.2e-05,8.2e-06,7.7e-05,1.18e-05,0.0349,4.5e-05,0.000107,0.000686,0,0.00643,9e-04,NA,1e-07,1e-07,0.000122,0,0.000294,NA,NA,NA,NA,NA,NA,NA,0.0571,0.000113,0.000817,0.003301,0.00147,0.000168,5.5e-05,1.7e-06,0.078,NA,NA,1.22e-05,0,5.5e-05,5.5e-05,0.0026,0.155,0.368,0.71,1.377,1.06,0.312,0.387,0.622,0.542,0.818,0.374,0.317,0.403,1.132,2.881,0.241,1.325,0.762,0,0,0,0,NA,2.236,0.086,0.062,0.043,0.095,0.103,0.321,1.031,0.439,0.006,0.873,0.139,0.055,0,0,0,0.021,0.06,0,0,0,0,0,NA,0,0,0,0.968,0.194,0.031,0.018,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0.007,0,NA,NA,NA,0.006,NA,NA,NA,NA,NA,0,0,NA,83.96,83.96
"5","ND00032",0.17,0.1,11.27,0.24,42,0,1.13,2.3,5.88,0,0.07,0,88.22,NA,0,0,176,9.39,0,1.1,0.004,0.00023,0.003,0.005,0.074,0.002,3e-05,2.7e-05,NA,2.5e-05,3e-07,0.000725,0,1e-06,1.3e-05,0,0.00016,0,NA,NA,0,9e-06,0,1.8e-05,0,0,0,2e-05,0,0,0,0.001,2.6e-05,3e-05,8.4e-05,4.1e-05,2.7e-05,3e-06,0,0.0022,0,0,5e-07,0,3e-06,3e-06,4e-04,0.002,0.006,0.006,0.01,0.01,0.002,0.002,0.005,0.003,0.008,0.005,0.003,0.006,0.028,0.017,0.006,0.006,0.007,NA,0,0,0,0,0.008,0,0,0,0,0,0,0.007,0.001,NA,0.002,0.012,0.003,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0.002,0.014,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,11.27,11.27
"6","ND00034",0.3,0.2,10.8,0.3,42,NA,NA,NA,NA,NA,NA,0,88.4,NA,0,0,174,6.98,NA,2.8,0.008,0.00024,0.008,0.012,0.13,0.001,8e-05,6.5e-05,1e-06,NA,4e-07,0.000425,0,1e-06,9e-06,0,9e-05,0,NA,NA,0,1e-06,0,3.6e-05,NA,NA,NA,NA,NA,NA,NA,0.0245,1.3e-05,2.8e-05,0.000189,9e-05,8e-06,4e-06,0,0.0036,NA,NA,3.2e-06,0,4e-06,4e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.012,0,0,0,0,0,0,0.008,0.002,NA,0.04,0.046,0,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0.042,0.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,10.8
"7","ND00041",1,0.2,23.52,0.98,100,NA,NA,NA,NA,NA,NA,0,74.3,NA,0,0,418,14.28,NA,2.7,0.021,4e-04,0.017,0.03,0.306,0.001,2e-04,0.000164,2e-06,NA,8e-07,0.0015,0,3e-06,3e-05,4e-06,0.00055,0,NA,NA,0,7e-06,0,5.5e-05,NA,NA,NA,NA,NA,NA,NA,0.0013,2e-05,0.00021,0.00072,NA,0.00011,1e-06,0,0.0037,NA,NA,2.21e-05,0,1e-06,1e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.02,0,0,0,0,0,0,0.013,0.003,NA,0.13,0.044,0,0,0,NA,NA,0.002,0,0,0,0,0,NA,NA,NA,NA,0.13,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.55,23.55
"8","ND00043",0.27,0.13,12.76,0.17,48,NA,0.82,3.25,6.03,0,0,0,86.67,NA,0,0,200,10.1,0,1.3,0.005,7e-05,0.004,0.011,0.09,0,5e-05,3.1e-05,NA,3.8e-05,0,0.00095,0,2e-06,1.7e-05,0,5e-05,0,NA,NA,0,1.3e-05,0,1.8e-05,1e-05,0,0,0,0,0,0,0.004,1.9e-05,2.8e-05,9.1e-05,7.1e-05,3.7e-05,0,0,0.0034,NA,0,6e-07,0,0,0,NA,0.001,0.006,0.006,0.014,0.013,0.001,0.001,0.007,0.001,0.012,0.006,0.005,0.012,0.074,0.026,0.009,0.006,0.011,NA,0,0,0,0,0.021,0,0,0,0,0,0,0.017,0.002,NA,0.005,0.031,0.007,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0.005,0.037,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0,12.76,12.76
"9","ND00050",0.51999999948,0.20999999979,14.96999998503,0.45333333288,57.666666609,NA,NA,NA,NA,NA,NA,0,83.84333324949,NA,0,0,240.333333093,9.5333333238,NA,2.1666666645,0.005666666661,0.00024333333309,0.012666666654,0.012999999987,0.187333333146,0.001333333332,8.666666658e-05,5.666666661e-05,NA,NA,5.666666661e-07,0.00091666666575,0,1.666666665e-06,1.5999999984e-05,8.333333325e-06,0.00011666666655,0,NA,NA,0,3.33333333e-06,0,2.5333333308e-05,NA,NA,NA,NA,NA,NA,NA,0.0113999999886,2.333333331e-05,4.3666666623e-05,0.000312666666354,0.000154999999845,0.000133999999866,8.999999991e-06,0,0.0051999999948,NA,NA,1.3999999986e-06,0,8.999999991e-06,8.999999991e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.043999999956,0,0,0,0.000333333333,0.000666666666,0.000666666666,0.038999999961,0.002666666664,NA,0.021333333312,0.034666666632,0.00999999999,0,0,NA,NA,0.00333333333,0,0,0,0,0,NA,NA,NA,NA,0.025333333308,0.044333333289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.96999998503,14.96999998503
"10","ND00053",0.49,0.15,8.5,0.42,35,0.62,1.19,1.71,3.44,0,0.035,0,90.44,NA,0,0,146.5,6.38,0,1,0.014,0.000275,0.0085,0.013,0.1295,0.0035,0.00011,2.85e-05,NA,5.4e-05,2.5e-07,0.02165,0,4.3e-05,0.0004545,0.000121,0.000355,0,NA,NA,0,9e-06,0,0.0017725,0,5.5e-05,0,1e-05,0,0,0,0.00065,2.75e-05,3.9e-05,0.0003835,0.0001265,4.85e-05,5.5e-06,0,0.0049,0,0,2.6e-06,0,5.5e-06,5.5e-06,0.00035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.014,0,0,0,0,0,0,0.0135,5e-04,NA,0.011,0.021,0.0065,0,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0.011,0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.505,8.505
