PRODUCTNDID	USDA ID	NDID FOR USDA PRODUCTS	WhatnumberofBP	%OFPRODUCT	
None	14209	ND00205			
ND00419	1053	ND00425	1	1	
ND00420	1053	ND00425	1	1	
ND00421	1053	ND00425	1	1	
ND00424	1053	ND00425	1	1	
RNFD00061	1053	ND00425	1	1	
RNFD00497	1053	ND00425	1	1	
RNFD01547	1053	ND00425	1	1	
RNFD01727	1053	ND00425	1	1	
RNFD02455	1053	ND00425	1	1	
RNFD02457	1053	ND00425	1	1	
RNFD02635	1053	ND00425	1	1	
ND00442	1124	ND00428	1	1	
ND00445	1124	ND00428	1	1	
ND00446	1124	ND00428	1	1	
ND00449	1124	ND00428	1	1	
ND00429	1123	ND00437	1	1	
ND00430	1123	ND00437	1	1	
ND00433	1123	ND00437	1	1	
ND00434	1123	ND00437	1	1	
RNFD02042	1123	ND00437	1	1	
RNFD02067	1123	ND00437	1	1	
None	1132	ND00438			
None	1129	ND00439			
None	1125	ND00440			
ND00456	1211	ND00455	1	1	
ND00464	1056	ND00463	1	1	
ND00465	1056	ND00463	1	1	
ND00466	1056	ND00463	1	1	
ND00614	4002	ND00613	1	1	
ND00043	9004	ND00768	1	1	
RNFD00839	9004	ND00768	1	1	
RNFD00499	9003	ND00769	1	1	
None	9039	ND00771			
None	9037	ND00772			
None	9038	ND00773			
ND00050	9040	ND00774	1	0.333333333	
ND00069	9040	ND00774	4	0.25	
ND00080	9040	ND00774	1	1	
ND00084	9040	ND00774	1	1	
ND00086	9040	ND00774	3	0.333333333	
ND00091	9040	ND00774	1	0.5	
ND00094	9040	ND00774	1	0.333333333	
ND00119	9040	ND00774	1	0.333333333	
ND00123	9040	ND00774	2	0.333333333	
ND00127	9040	ND00774	3	0.333333333	
ND00140	9040	ND00774	2	0.333333333	
RNFD00192	9040	ND00774	1	1	
RNFD00678	9040	ND00774	1	0.333333333	
RNFD00712	9040	ND00774	4	0.25	
RNFD00814	9040	ND00774	1	1	
RNFD00929	9040	ND00774	1	0.5	
RNFD02695	9040	ND00774	3	0.333333333	
RNFD00926	9042	ND00775	1	0.5	
ND00778	9050	ND00777	1	1	
None	9050	ND00777			
ND00055	9302	ND00784	2	0.5	
ND00783	9302	ND00784	1	1	
RNFD00678	9302	ND00784	3	0.333333333	
RNFD02833	9302	ND00784	2	1	
ND00137	9316	ND00785	2	0.333333333	
ND00787	9316	ND00785	1	1	
RNFD00281	9316	ND00785	1	1	
RNFD00403	9316	ND00785	1	1	
None	9070	ND00789			
None	9153	ND00790			
None	9152	ND00791			
None	9203	ND00795			
None	9202	ND00797			
ND00091	9218	ND00802	2	0.5	
None	9132	ND00810			
None	9148	ND00811			
RNFD00689	9176	ND00812	2	0.5	
RNFD00877	9176	ND00812	1	1	
RNFD02751	9176	ND00812	2	0.5	
None	9326	ND00814			
None	9181	ND00815			
None	9451	ND00817			
None	9236	ND00832			
RNFD02787	9252	ND00843	1	1	
None	9266	ND00850			
ND00855	18369	ND00856	1	1	
ND01044	23572	ND01046	1	1	
ND01045	23572	ND01046	1	1	
ND01047	23572	ND01046	1	1	
RNFD00057	23572	ND01046	1	1	
RNFD00783	23572	ND01046	1	1	
RNFD02069	23572	ND01046	1	1	
RNFD02073	23572	ND01046	1	1	
None	23575	ND01049			
None	13325	ND01052			
None	13917	ND01056			
None	13095	ND01058			
None	17343	ND01062			
None	10214	ND01167			
None	10040	ND01168			
None	10066	ND01169			
RNFD02006	10066	ND01169	1	1	
None	10081	ND01172			
None	10197	ND01173			
ND01182	5062	ND01188	1	1	
ND01186	5062	ND01188	1	1	
RNFD01923	5062	ND01188	1	1	
RNFD02066	5062	ND01188	1	1	
RNFD02125	5062	ND01188	1	1	
RNFD02730	5062	ND01188	1	1	
ND01079	5064	ND01191	1	1	
ND01187	5064	ND01191	1	1	
RNFD01922	5064	ND01191	1	1	
RNFD01280	5668	ND01196	1	1	
ND01205	22978	ND01209	1	1	
ND01206	22978	ND01209	1	1	
RNFD02531	22978	ND01209	1	1	
None	5167	ND01212			
None	5186	ND01213			
None	5186	ND01213			
None	5188	ND01216			
ND01303	2046	ND01308	1	1	
ND01306	2046	ND01308	1	1	
RNFD02868	2046	ND01308	1	1	
None	15234	ND01420			
None	15031	ND01422			
None	15236	ND01430			
None	15083	ND01431			
None	15261	ND01439			
RNFD02480	15261	ND01439	1	1	
None	15127	ND01454			
None	11282	ND01473			
None	2010	ND01480			
None	2035	ND01482			
None	2025	ND01483			
None	11215	ND01486			
None	2021	ND01488			
None	2027	ND01489			
None	2042	ND01490			
RNFD01661	2030	ND01491	4	0.2	
RNFD01661	2026	ND01492	3	0.2	
ND01472	2009	ND01494	1	1	
None	2028	ND01495			
ND01470	2020	ND01497	2	0.333333333	
RNFD01661	2020	ND01497	1	0.2	
None	2003	ND01502			
ND01470	2029	ND01504	3	0.333333333	
RNFD01661	2029	ND01504	5	0.2	
ND01529	19165	ND01528	1	1	
RNFD00978	19165	ND01528	1	1	
RNFD00979	19165	ND01528	1	1	
RNFD01150	19165	ND01528	1	1	
RNFD01737	43158	ND01600	1	1	
None	11011	ND01626			
ND01617	11012	ND01627	1	1	
ND01618	11012	ND01627	1	1	
ND01623	11012	ND01627	1	1	
ND01625	11012	ND01627	1	1	
ND00202	11091	ND01633	2	0.333333333	
ND01628	11090	ND01635	1	1	
ND01629	11090	ND01635	1	1	
ND01630	11090	ND01635	1	1	
ND01631	11090	ND01635	1	1	
RNFD01017	11090	ND01635	1	1	
RNFD01082	11090	ND01635	1	1	
RNFD01090	11090	ND01635	1	1	
RNFD01096	11090	ND01635	1	1	
RNFD02473	11090	ND01635	1	1	
RNFD02623	11090	ND01635	1	1	
RNFD02771	11090	ND01635	1	1	
None	11098	ND01636			
None	11110	ND01638			
None	11109	ND01639			
None	11143	ND01641			
None	11161	ND01643			
None	11206	ND01644			
None	11205	ND01645			
None	11052	ND01658			
ND01657	11052	ND01658	1	1	
RNFD02036	11052	ND01658	1	1	
RNFD02887	11052	ND01658	1	1	
None	11053	ND01659			
None	11053	ND01659			
None	11233	ND01661			
None	11252	ND01662			
None	11251	ND01663			
ND01681	11304	ND01678	1	1	
RNFD01335	11304	ND01678	1	1	
ND01684	11457	ND01689	1	1	
ND01686	11457	ND01689	1	1	
RNFD01083	11457	ND01689	1	1	
None	11477	ND01690			
RNFD02038	11333	ND01693	1	1	
ND01704	11960	ND01696	1	1	
RNFD00691	11960	ND01696	1	1	
RNFD01085	11960	ND01696	1	1	
RNFD01086	11960	ND01696	1	1	
RNFD02068	11960	ND01696	1	1	
ND00058	11125	ND01697	2	0.5	
ND00158	11125	ND01697	1	1	
ND00165	11125	ND01697	1	1	
ND00177	11125	ND01697	1	1	
ND00183	11125	ND01697	2	0.333333333	
ND00202	11125	ND01697	1	0.333333333	
RNFD00188	11125	ND01697	1	1	
RNFD00224	11125	ND01697	1	1	
RNFD00714	11125	ND01697	1	0.5	
RNFD00820	11125	ND01697	1	1	
RNFD00840	11125	ND01697	1	1	
RNFD00898	11125	ND01697	1	1	
RNFD00900	11125	ND01697	1	0.333333333	
RNFD02743	11125	ND01697	1	0.333333333	
RNFD02746	11125	ND01697	1	0.333333333	
RNFD02815	11125	ND01697	1	1	
ND01703	11124	ND01701	1	1	
RNFD02091	11124	ND01701	1	1	
None	11422	ND01707			
None	11508	ND01708			
None	11209	ND01748			
None	11080	ND01751			
RNFD02489	11529	ND01760	1	1	
RNFD02490	11529	ND01760	1	1	
RNFD02491	11529	ND01760	1	1	
None	11136	ND01763			
None	11135	ND01764			
None	11265	ND01767			
None	11260	ND01768			
RNFD00706	11365	ND01770	1	0.5	
RNFD00900	11365	ND01770	3	0.333333333	
RNFD02743	11365	ND01770	2	0.333333333	
RNFD02745	11365	ND01770	2	0.5	
None	11363	ND01771			
None	11435	ND01774			
None	11565	ND01775			
None	11564	ND01776			
None	11900	ND01785			
None	11492	ND01789			
None	11493	ND01790			
None	11482	ND01791			
None	11485	ND01795			
ND01796	11641	ND01797	1	1	
ND00600	1001	ND01987	1	1	
RNFD00029	1001	ND01987	1	1	
RNFD02134	1001	ND01987	1	1	
ND00602	1002	ND01988	1	1	
RNFD01533	1002	ND01988	1	1	
RNFD01545	1002	ND01988	1	1	
ND00330	1009	ND01995	1	1	
ND00331	1009	ND01995	1	1	
ND00332	1009	ND01995	1	1	
ND00335	1009	ND01995	1	1	
ND00336	1009	ND01995	1	1	
ND00337	1009	ND01995	1	1	
ND00339	1009	ND01995	1	1	
ND00340	1009	ND01995	1	1	
ND00399	1009	ND01995	1	0.333333333	
ND00589	1009	ND01995	1	0.5	
RNFD01500	1009	ND01995	1	1	
RNFD01791	1009	ND01995	1	1	
RNFD01792	1009	ND01995	1	1	
RNFD02214	1009	ND01995	1	1	
RNFD02216	1009	ND01995	1	1	
RNFD02880	1009	ND01995	1	1	
ND00343	1011	ND01997	1	0.5	
ND00347	1011	ND01997	1	0.5	
ND00350	1012	ND01998	1	1	
ND00351	1012	ND01998	1	1	
RNFD02028	1012	ND01998	1	1	
None	1015	ND02001			
ND00357	1017	ND02003	1	1	
ND00360	1017	ND02003	1	1	
ND00361	1017	ND02003	1	1	
ND00362	1017	ND02003	1	1	
ND00363	1017	ND02003	1	1	
ND00364	1017	ND02003	1	1	
ND00366	1017	ND02003	1	1	
ND00367	1017	ND02003	1	1	
RNFD02121	1017	ND02003	1	1	
RNFD02791	1018	ND02004	1	1	
RNFD02799	1018	ND02004	1	1	
ND00368	1019	ND02005	1	1	
ND00401	1020	ND02006	4	0.25	
None	1022	ND02008			
ND00371	1023	ND02009	1	1	
ND00343	1025	ND02011	2	0.5	
ND00344	1025	ND02011	1	1	
ND00347	1025	ND02011	2	0.5	
ND00399	1025	ND02011	2	0.333333333	
RNFD00469	1025	ND02011	1	1	
ND00377	1026	ND02012	1	1	
RNFD00380	1026	ND02012	1	1	
RNFD01793	1026	ND02012	1	1	
RNFD02300	1026	ND02012	1	1	
ND00376	1029	ND02015	1	1	
ND00378	1029	ND02015	1	1	
ND00397	1029	ND02015	1	1	
ND00588	1029	ND02015	1	1	
ND00589	1029	ND02015	2	0.5	
RNFD02299	1029	ND02015	1	1	
ND00404	1032	ND02018	1	1	
ND00406	1032	ND02018	1	1	
RNFD01009	1032	ND02018	1	1	
RNFD02207	1033	ND02019	1	1	
ND00401	1035	ND02021	2	0.25	
ND00408	1036	ND02022	1	1	
ND00409	1036	ND02022	1	1	
ND00410	1036	ND02022	1	1	
RNFD00326	1036	ND02022	1	1	
ND00407	1037	ND02023	1	1	
ND00372	1041	ND02027	1	1	
ND00373	1041	ND02027	1	1	
ND00316	1042	ND02028	1	1	
ND00320	1042	ND02028	1	1	
ND00321	1042	ND02028	1	1	
ND00322	1042	ND02028	1	1	
RNFD00324	1042	ND02028	1	1	
RNFD01493	1042	ND02028	1	1	
RNFD01514	1042	ND02028	1	1	
RNFD01526	1042	ND02028	1	1	
RNFD02037	1042	ND02028	1	1	
RNFD02577	1042	ND02028	1	1	
RNFD02903	1042	ND02028	1	1	
ND00411	1044	ND02030	1	1	
ND00414	1044	ND02030	1	1	
RNFD02760	1054	ND02038	1	1	
RNFD02310	1067	ND02045	1	1	
RNFD02485	1067	ND02045	1	1	
RNFD02538	1067	ND02045	1	1	
None	1077	ND02054			
None	1085	ND02062			
ND00452	1102	ND02075	1	1	
ND00526	1116	ND02089	1	1	
ND00528	1116	ND02089	1	1	
ND00529	1116	ND02089	1	1	
ND00474	1121	ND02094	1	1	
ND00475	1121	ND02094	1	1	
ND00476	1121	ND02094	1	1	
ND00477	1121	ND02094	1	1	
ND00478	1121	ND02094	1	1	
ND00479	1121	ND02094	1	1	
ND00480	1121	ND02094	1	1	
ND00481	1121	ND02094	1	1	
ND00482	1121	ND02094	1	1	
ND00483	1121	ND02094	1	1	
ND00484	1121	ND02094	1	1	
ND00493	1121	ND02094	1	1	
ND00496	1121	ND02094	1	1	
ND00497	1121	ND02094	1	1	
ND00498	1121	ND02094	1	1	
ND00499	1121	ND02094	1	1	
ND00500	1121	ND02094	1	1	
ND00501	1121	ND02094	1	1	
ND00502	1121	ND02094	1	1	
ND00503	1121	ND02094	1	1	
ND00504	1121	ND02094	1	1	
ND00505	1121	ND02094	1	1	
ND00508	1121	ND02094	1	1	
ND00509	1121	ND02094	1	1	
ND00510	1121	ND02094	1	1	
ND00512	1121	ND02094	1	1	
ND00513	1121	ND02094	1	1	
ND00514	1121	ND02094	1	1	
ND00515	1121	ND02094	1	1	
ND00518	1121	ND02094	1	1	
ND00522	1121	ND02094	1	1	
ND00532	1121	ND02094	1	1	
ND00533	1121	ND02094	1	1	
ND00539	1121	ND02094	1	1	
ND00541	1121	ND02094	1	1	
ND00542	1121	ND02094	1	1	
ND00543	1121	ND02094	1	1	
ND00545	1121	ND02094	1	1	
ND00547	1121	ND02094	1	1	
ND00585	1121	ND02094	1	1	
RNFD00527	1121	ND02094	1	1	
RNFD00528	1121	ND02094	1	1	
RNFD00530	1121	ND02094	1	1	
RNFD00531	1121	ND02094	1	1	
RNFD00533	1121	ND02094	1	1	
RNFD00535	1121	ND02094	1	1	
RNFD00536	1121	ND02094	1	1	
RNFD00537	1121	ND02094	1	1	
RNFD00538	1121	ND02094	1	1	
RNFD00539	1121	ND02094	1	1	
RNFD00540	1121	ND02094	1	1	
RNFD02803	1121	ND02094	1	1	
RNFD02811	1121	ND02094	1	1	
RNFD02812	1121	ND02094	1	1	
RNFD02841	1121	ND02094	1	1	
RNFD02842	1121	ND02094	1	1	
RNFD02843	1121	ND02094	1	1	
RNFD02844	1121	ND02094	1	1	
RNFD02847	1121	ND02094	1	1	
RNFD02849	1121	ND02094	1	1	
RNFD02851	1121	ND02094	1	1	
RNFD02858	1121	ND02094	1	1	
RNFD02875	1121	ND02094	1	1	
RNFD02883	1121	ND02094	1	1	
None	1131	ND02100			
ND00601	1145	ND02111	1	1	
ND00605	1145	ND02111	1	1	
ND00606	1145	ND02111	1	1	
ND00607	1145	ND02111	1	1	
RNFD00092	1145	ND02111	1	1	
ND00401	1146	ND02112	3	0.25	
RNFD00052	1146	ND02112	1	1	
RNFD02223	1146	ND02112	1	1	
ND00399	1166	ND02125	3	0.333333333	
None	1178	ND02134			
None	1179	ND02135			
ND00717	1212	ND02159	5	0.2	
ND00719	1212	ND02159	5	0.2	
ND00470	1219	ND02165	1	1	
ND00471	1219	ND02165	1	1	
ND00485	1219	ND02165	1	1	
ND00486	1219	ND02165	1	1	
ND00711	1223	ND02169	5	0.058	
ND00444	1226	ND02172	1	1	
ND00448	1226	ND02172	1	1	
None	1241	ND02184			
None	1254	ND02192			
ND00202	1260	ND02197	3	0.333333333	
ND00334	1270	ND02203	1	1	
ND00338	1270	ND02203	1	1	
ND00341	1270	ND02203	1	1	
ND00379	1271	ND02204	1	1	
ND00401	1271	ND02204	1	0.25	
RNFD02215	1271	ND02204	1	1	
ND01470	2047	ND02232	1	0.333333333	
RNFD01661	2047	ND02232	2	0.2	
ND01315	2048	ND02233	1	1	
ND01462	2050	ND02235	1	1	
ND01465	2050	ND02235	1	1	
RNFD01663	2050	ND02235	1	1	
RNFD01666	2050	ND02235	1	1	
RNFD01675	2050	ND02235	2	0.5	
RNFD01673	2051	ND02236	1	1	
RNFD01674	2051	ND02236	1	1	
RNFD01675	2051	ND02236	1	0.5	
ND01356	2053	ND02238	1	1	
RNFD00100	2069	ND02246	1	1	
ND00101	3002	ND02252	1	1	
ND00104	3002	ND02252	1	1	
ND00152	3002	ND02252	1	0.5	
RNFD00900	3002	ND02252	2	0.333333333	
RNFD01135	3002	ND02252	1	1	
RNFD02738	3002	ND02252	1	0.5	
RNFD02743	3002	ND02252	3	0.333333333	
RNFD02746	3002	ND02252	2	0.333333333	
RNFD02814	3005	ND02254	1	1	
ND00106	3008	ND02256	1	1	
RNFD00243	3008	ND02256	1	0.333333333	
RNFD01144	3008	ND02256	1	0.5	
RNFD02784	3008	ND02256	1	1	
RNFD02807	3008	ND02256	1	0.5	
ND00103	3012	ND02260	1	1	
ND00107	3012	ND02260	1	1	
ND00111	3012	ND02260	1	0.5	
ND00112	3012	ND02260	2	0.5	
ND00117	3012	ND02260	1	0.5	
ND00128	3012	ND02260	1	0.5	
ND00130	3012	ND02260	2	0.5	
ND00131	3012	ND02260	1	0.5	
ND00138	3012	ND02260	2	0.5	
ND00144	3012	ND02260	2	0.5	
RNFD00174	3012	ND02260	1	0.5	
RNFD00201	3012	ND02260	1	0.5	
RNFD00824	3012	ND02260	2	0.5	
RNFD00948	3012	ND02260	1	0.5	
RNFD00969	3012	ND02260	1	0.5	
RNFD01136	3012	ND02260	1	1	
RNFD02739	3012	ND02260	2	0.5	
ND00108	3014	ND02262	1	1	
ND00102	3015	ND02263	1	1	
ND00105	3015	ND02263	1	1	
ND00114	3015	ND02263	2	0.5	
ND00129	3015	ND02263	1	0.333333333	
ND00133	3015	ND02263	1	0.5	
ND00136	3015	ND02263	1	0.5	
ND00147	3015	ND02263	2	0.5	
ND00149	3015	ND02263	1	0.333333333	
RNFD00888	3015	ND02263	2	0.5	
RNFD00947	3015	ND02263	2	0.5	
RNFD01140	3015	ND02263	1	1	
RNFD02742	3015	ND02263	1	0.333333333	
ND00109	3017	ND02265	1	1	
RNFD00859	3019	ND02266	1	1	
ND00110	3021	ND02267	1	1	
ND00116	3053	ND02280	1	1	
ND00150	3054	ND02281	1	1	
ND00132	3089	ND02302	1	0.66	
ND00166	3091	ND02304	1	1	
ND00174	3091	ND02304	1	1	
RNFD00199	3091	ND02304	1	1	
RNFD00870	3091	ND02304	1	1	
RNFD00953	3091	ND02304	1	0.5	
RNFD02698	3091	ND02304	1	1	
RNFD02745	3091	ND02304	1	0.5	
RNFD02816	3091	ND02304	1	1	
RNFD00250	3092	ND02305	1	0.333333333	
RNFD00257	3092	ND02305	3	0.333333333	
RNFD00891	3092	ND02305	1	0.5	
ND00053	3104	ND02311	1	0.5	
ND00114	3104	ND02311	1	0.5	
ND00156	3104	ND02311	1	1	
ND00157	3104	ND02311	1	1	
ND00173	3104	ND02311	1	1	
ND00175	3104	ND02311	1	1	
RNFD00185	3104	ND02311	1	1	
RNFD00186	3104	ND02311	1	1	
RNFD00680	3104	ND02311	1	0.5	
RNFD00946	3104	ND02311	1	1	
RNFD02818	3104	ND02311	1	1	
ND00200	3105	ND02312	1	1	
ND00130	3108	ND02313	1	0.5	
ND00136	3108	ND02313	2	0.5	
ND00162	3108	ND02313	1	1	
ND00191	3108	ND02313	1	0.5	
ND00195	3108	ND02313	1	1	
ND00196	3108	ND02313	1	1	
RNFD00223	3108	ND02313	1	1	
RNFD00227	3108	ND02313	1	1	
RNFD00947	3108	ND02313	1	0.5	
RNFD02703	3108	ND02313	1	1	
RNFD02739	3108	ND02313	1	0.5	
RNFD02819	3108	ND02313	1	1	
ND00203	3109	ND02314	1	1	
ND00141	3120	ND02322	1	0.5	
RNFD00250	3120	ND02322	2	0.333333333	
RNFD00257	3120	ND02322	2	0.333333333	
ND00129	3121	ND02323	2	0.333333333	
ND00169	3121	ND02323	3	0.333333333	
ND00182	3121	ND02323	1	1	
ND00186	3121	ND02323	2	0.333333333	
ND01842	3121	ND02323	1	1	
RNFD00228	3121	ND02323	1	1	
RNFD00262	3121	ND02323	1	1	
RNFD00699	3121	ND02323	1	0.5	
RNFD00911	3121	ND02323	1	1	
RNFD02817	3121	ND02323	1	1	
RNFD00826	3127	ND02325	1	1	
ND00085	3130	ND02328	1	0.5	
ND00127	3130	ND02328	1	0.333333333	
RNFD00219	3130	ND02328	1	1	
RNFD00678	3130	ND02328	2	0.333333333	
RNFD00905	3130	ND02328	1	1	
RNFD00906	3130	ND02328	1	1	
RNFD00935	3130	ND02328	1	0.333333333	
RNFD02695	3130	ND02328	1	0.333333333	
ND00034	3132	ND02330	1	1	
ND00050	3132	ND02330	3	0.333333333	
ND00055	3132	ND02330	1	0.5	
ND00069	3132	ND02330	3	0.25	
ND00073	3132	ND02330	1	1	
ND00077	3132	ND02330	1	1	
ND00086	3132	ND02330	2	0.333333333	
ND00097	3132	ND02330	1	1	
ND00137	3132	ND02330	1	0.333333333	
ND00151	3132	ND02330	1	0.5	
ND00186	3132	ND02330	3	0.333333333	
RNFD00251	3132	ND02330	1	0.5	
RNFD00689	3132	ND02330	1	0.5	
RNFD00712	3132	ND02330	3	0.25	
RNFD00842	3132	ND02330	1	1	
RNFD00907	3132	ND02330	1	1	
RNFD00910	3132	ND02330	1	1	
