Year	PRODUCTNDID	Category_1
2013	RNFD00002	Sauces_Soups_Condiments_Dressing
2013	RNFD00003	Meats
2009	ND00434	Dairy_and_Egg
2010	ND00434	Dairy_and_Egg
2011	ND00434	Dairy_and_Egg
2012	ND00434	Dairy_and_Egg
2013	ND00434	Dairy_and_Egg
2014	ND00434	Dairy_and_Egg
2015	ND00001	Baby_Foods
2007	RNFD00016	Fats_and_Oils
2009	RNFD00016	Fats_and_Oils
2010	RNFD00016	Fats_and_Oils
1997	RNFD00029	Fats_and_Oils
2000	RNFD00029	Fats_and_Oils
2001	RNFD00029	Fats_and_Oils
2002	RNFD00029	Fats_and_Oils
2003	RNFD00029	Fats_and_Oils
2004	RNFD00029	Fats_and_Oils
2005	RNFD00029	Fats_and_Oils
2006	RNFD00029	Fats_and_Oils
2007	RNFD00029	Fats_and_Oils
2009	RNFD00029	Fats_and_Oils
2010	RNFD00029	Fats_and_Oils
1997	RNFD00052	Dairy_and_Egg
2000	RNFD00052	Dairy_and_Egg
2001	RNFD00052	Dairy_and_Egg
2005	RNFD00057	Meats
2006	RNFD00057	Meats
2007	RNFD00057	Meats
2004	RNFD00061	Dairy_and_Egg
2005	RNFD00061	Dairy_and_Egg
2006	RNFD00061	Dairy_and_Egg
2007	RNFD00061	Dairy_and_Egg
2009	RNFD00061	Dairy_and_Egg
2010	RNFD00061	Dairy_and_Egg
2011	RNFD00061	Dairy_and_Egg
2011	RNFD00057	Meats
2009	RNFD00057	Meats
2010	RNFD00057	Meats
2004	RNFD00092	Fats_and_Oils
2005	RNFD00092	Fats_and_Oils
2006	RNFD00092	Fats_and_Oils
2007	RNFD00092	Fats_and_Oils
2009	RNFD00092	Fats_and_Oils
2010	RNFD00092	Fats_and_Oils
2015	ND00011	Baby_Foods
2015	ND00008	Baby_Foods
2013	RNFD00100	Sauces_Soups_Condiments_Dressing
2014	RNFD00100	Sauces_Soups_Condiments_Dressing
2009	RNFD00100	Sauces_Soups_Condiments_Dressing
2010	RNFD00100	Sauces_Soups_Condiments_Dressing
2011	RNFD00100	Sauces_Soups_Condiments_Dressing
2012	RNFD00100	Sauces_Soups_Condiments_Dressing
2013	ND01044	Meats
2014	ND01044	Meats
2009	ND00372	Dairy_and_Egg
2010	ND00372	Dairy_and_Egg
2011	ND00372	Dairy_and_Egg
2012	ND00372	Dairy_and_Egg
2014	ND00372	Dairy_and_Egg
2002	ND00372	Dairy_and_Egg
2003	ND00372	Dairy_and_Egg
2013	ND00372	Dairy_and_Egg
2004	ND00372	Dairy_and_Egg
2005	ND00372	Dairy_and_Egg
2006	ND00372	Dairy_and_Egg
2007	ND00372	Dairy_and_Egg
2015	ND00028	Baby_Foods
2009	ND01205	Meats
2010	ND01205	Meats
2011	ND01205	Meats
2012	ND01205	Meats
2013	ND01205	Meats
2014	ND01205	Meats
2009	ND00859	Grains
2010	ND00859	Grains
2011	ND00859	Grains
2012	ND00859	Grains
2013	ND00859	Grains
2014	ND00859	Grains
2006	RNFD00124	Meats
2007	RNFD00124	Meats
2009	RNFD00124	Meats
2010	RNFD00124	Meats
2004	RNFD00133	Meats
2005	RNFD00133	Meats
1997	ND00614	Fats_and_Oils
2000	ND00614	Fats_and_Oils
2001	ND00614	Fats_and_Oils
2002	ND00614	Fats_and_Oils
2003	ND00614	Fats_and_Oils
2009	ND00614	Fats_and_Oils
2010	ND00614	Fats_and_Oils
2011	ND00614	Fats_and_Oils
2012	ND00614	Fats_and_Oils
2013	ND00614	Fats_and_Oils
2014	ND00614	Fats_and_Oils
2004	ND00614	Fats_and_Oils
2005	ND00614	Fats_and_Oils
2006	ND00614	Fats_and_Oils
2007	ND00614	Fats_and_Oils
2012	ND01129	Meats
2013	ND01129	Meats
2014	ND01129	Meats
2006	RNFD00133	Meats
2007	RNFD00133	Meats
2009	RNFD00133	Meats
